"caseid","sample_weight","prospective_persfin","pred_favored_win","pred_correct_win","health","mortgage","gender","age"
1,0.8877,3,1,1,3,0,0,29
2,1.1605,3,0,1,2,0,0,26
4,0.3852,4,1,1,3,0,0,58
7,4.2512,4,1,0,2,1,0,58
8,1.0325,2,1,1,4,1,1,56
12,0.5964,4,1,0,2,0,1,86
14,1.2503,3,1,1,2,0,0,67
15,0.3601,5,1,0,4,0,1,62
17,0.868,3,1,0,3,1,0,46
18,0.258,3,1,1,5,1,0,70
19,1.8912,3,1,0,5,1,1,30
21,0.9225,4,0,1,4,0,1,66
22,0.5733,4,1,1,4,0,1,32
25,1.103,4,1,1,2,0,0,61
29,1.0487,4,1,0,3,0,0,73
32,0.3371,4,1,1,4,1,0,64
33,1.022,3,0,1,5,0,1,73
34,0.2475,3,1,1,3,1,0,69
36,0.6396,3,1,0,3,0,0,67
38,0.6131,2,1,1,4,1,0,54
39,0.982,5,0,1,2,0,0,48
40,2.2273,5,1,0,5,0,1,26
42,0.2525,3,1,1,5,0,1,25
44,0.8172,5,1,1,5,1,0,59
45,1.007,3,1,1,2,0,1,39
46,1.3752,3,1,0,3,1,1,52
48,0.5482,2,0,1,2,1,0,46
49,1.0356,5,1,0,3,0,0,45
50,1.1479,2,1,0,2,0,0,64
52,0.314,3,1,0,4,0,1,61
53,0.3627,3,0,1,5,1,0,30
55,0.665,4,1,0,5,1,1,35
56,1.7995,3,1,0,4,0,1,24
58,0.3659,4,1,0,2,1,0,61
59,0.6605,4,1,0,5,1,1,52
61,0.5351,3,1,0,4,0,0,68
65,1.8437,3,1,0,4,0,1,47
66,0.8003,2,1,0,2,1,1,68
67,5.5102,3,1,0,3,1,0,57
70,0.4017,4,1,0,2,0,0,45
71,0.4434,3,1,0,3,0,1,50
72,0.5433,3,1,0,4,1,1,68
73,1.5973,4,1,0,5,1,0,60
74,0.2392,3,1,0,4,0,1,36
77,0.3341,3,0,1,2,0,1,46
78,0.6137,4,1,0,3,0,0,35
80,1.1077,4,1,0,3,0,1,78
