"vote_choice","respondent_id","approve_EU","NHS_improved","income","female","age","wt_combined_main","party_id","taxspend","vote"
1,2,3,3,9,0,56,1.29151201248169,1,2,TRUE
2,6,2,3,10,0,60,0.430503994226456,1,2,FALSE
1,13,4,3,13,0,71,0.83042699098587,1,0,TRUE
1,15,5,4,15,0,42,1.01905298233032,1,1,TRUE
2,16,5,3,15,1,45,0.854846000671387,1,3,FALSE
1,20,4,4,15,0,32,1.36367905139923,1,1,TRUE
1,21,4,3,15,0,61,1.53696000576019,1,2,TRUE
2,22,4,1,11,1,53,1.05476999282837,1,6,FALSE
2,23,5,3,12,0,43,1.25738096237183,1,5,FALSE
2,26,2,2,7,0,45,0.594137012958527,1,1,FALSE
2,27,4,2,11,0,49,1.18827402591705,1,0,FALSE
4,37,3,1,12,0,42,0.628691017627716,1,0,FALSE
1,40,2,2,12,1,52,1.58215498924255,1,3,TRUE
1,41,4,2,12,1,61,1.02657401561737,1,0,TRUE
1,43,2,3,11,1,57,1.02657401561737,1,2,TRUE
1,45,2,3,15,1,50,2.63692498207092,1,3,TRUE
1,46,4,3,13,0,39,1.25738096237183,1,0,TRUE
1,47,1,1,4,1,78,0.785982012748718,1,3,TRUE
1,54,4,2,13,0,35,0.628691017627716,1,2,TRUE
1,56,1,3,4,0,72,1.0246410369873,1,1,TRUE
1,58,5,4,11,0,59,0.512319982051849,1,3,TRUE
2,61,3,3,12,1,35,0.527384996414185,1,0,FALSE
2,64,4,1,5,0,72,0.894955992698669,1,2,FALSE
4,71,1,1,5,0,31,1.19108402729034,1,4,FALSE
2,77,2,3,8,1,65,0.485076010227203,1,6,FALSE
2,79,3,1,4,0,56,0.968325018882751,1,5,FALSE
2,81,4,2,4,1,56,0.485076010227203,1,2,FALSE
2,90,4,1,12,0,45,1.13697803020477,1,9,FALSE
2,91,4,2,6,1,45,0.953768014907837,1,7,FALSE
3,94,5,2,12,0,49,1.70546495914459,1,8,FALSE
3,96,3,1,8,1,47,0.476884007453918,1,0,FALSE
2,100,4,2,7,0,40,1.34028398990631,1,2,FALSE
4,106,1,1,2,1,60,0.593496024608612,1,8,FALSE
1,110,2,4,9,0,64,0.947476983070374,1,0,TRUE
3,117,2,1,11,0,69,0.473738014698029,1,5,FALSE
1,118,5,1,1,0,70,0.947476983070374,1,2,TRUE
4,119,1,1,14,0,23,1.5628319978714,1,1,FALSE
