id,wave,sample_weight,euRefVote,riskUnemployment,satDemScot,scotReferendumIntention,Scottish,postEUref,postEUVote
18,1,.1695688006,1,3,3,1,1,0,0
18,4,.1695688006,1,2,4,1,1,0,0
18,6,.1695688006,1,3,3,1,1,1,1
48,1,.3706043139,1,2,3,1,1,0,0
48,4,.3706043139,1,2,1,1,1,0,0
48,6,.3706043139,1,3,2,1,1,1,1
66,1,.4930868176,1,2,3,0,1,0,0
66,4,.4930868176,1,2,1,0,1,0,0
66,6,.4930868176,1,2,3,0,1,1,1
67,1,.1106697018,1,2,4,1,1,0,0
67,4,.1106697018,1,2,3,1,1,0,0
67,6,.1106697018,1,2,4,1,1,1,1
80,1,.3198651933,0,2,1,0,1,0,0
80,4,.3198651933,0,1,1,0,1,0,0
80,6,.3198651933,0,2,1,0,1,1,0
93,1,.1982639768,0,2,3,1,1,0,0
93,4,.1982639768,1,2,4,1,1,0,0
93,6,.1982639768,1,2,4,1,1,1,1
155,1,.2144818903,1,3,3,0,1,0,0
155,4,.2144818903,1,3,3,0,1,0,0
155,6,.2144818903,1,4,3,0,1,1,1
163,1,.0924453446,1,2,1,0,0,0,0
163,4,.0924453446,1,1,1,0,0,0,0
163,6,.0924453446,1,2,1,1,0,1,1
232,1,1.542341113,1,5,1,1,1,0,0
232,4,1.542341113,1,4,3,1,1,0,0
232,6,1.542341113,0,2,4,1,1,1,0
293,1,.9794722425,0,1,2,0,1,0,0
293,4,.9794722425,0,4,1,0,1,0,0
293,6,.9794722425,0,2,1,0,1,1,0
301,1,.9632985557,0,1,3,1,1,0,0
301,4,.9632985557,0,2,3,0,1,0,0
301,6,.9632985557,1,1,4,0,1,1,1
386,1,.1354804868,1,1,2,0,0,0,0
386,4,.1354804868,1,1,1,0,0,0,0
386,6,.1354804868,1,2,3,1,0,1,1
425,1,.5661268526,1,1,3,0,1,0,0
425,4,.5661268526,1,3,3,0,1,0,0
425,6,.5661268526,1,2,3,0,1,1,1
431,1,.1308876177,1,1,1,0,0,0,0
431,4,.1308876177,1,1,2,0,0,0,0
431,6,.1308876177,1,3,2,1,0,1,1
476,1,.2253203067,1,5,2,1,1,0,0
476,4,.2253203067,1,1,3,1,1,0,0
476,6,.2253203067,1,1,3,1,1,1,1
478,1,.4653044967,0,1,1,0,1,0,0
478,4,.4653044967,0,1,2,0,1,0,0
478,6,.4653044967,0,1,1,0,1,1,0
523,1,.1415637601,1,1,3,0,1,0,0
523,4,.1415637601,1,2,3,1,1,0,0
523,6,.1415637601,1,1,2,0,1,1,1
560,1,.5873545524,0,1,4,1,1,0,0
560,4,.5873545524,0,1,4,1,1,0,0
560,6,.5873545524,1,1,3,1,1,1,1
853,1,.1399823951,1,5,4,0,1,0,0
853,4,.1399823951,1,1,4,0,1,0,0
853,6,.1399823951,1,1,3,0,1,1,1
859,1,.1106697018,1,2,4,1,1,0,0
859,4,.1106697018,1,1,3,1,1,0,0
859,6,.1106697018,1,1,4,1,1,1,1
931,1,.1530369944,0,2,3,1,0,0,0
931,4,.1530369944,0,3,3,1,0,0,0
931,6,.1530369944,1,3,3,1,0,1,1
993,1,.1355585496,1,2,2,0,1,0,0
993,4,.1355585496,1,2,2,0,1,0,0
993,6,.1355585496,1,4,2,1,1,1,1
1061,1,.2838195873,1,5,2,0,1,0,0
1061,4,.2838195873,1,2,2,0,1,0,0
1061,6,.2838195873,1,2,1,0,1,1,1
1078,1,.3566216339,1,1,3,0,1,0,0
1078,4,.3566216339,1,1,3,0,1,0,0
1078,6,.3566216339,1,1,2,0,1,1,1
1107,1,.1606766355,1,1,1,0,1,0,0
1107,4,.1606766355,1,1,1,0,1,0,0
1107,6,.1606766355,0,1,1,0,1,1,0
1180,1,.1588817664,1,1,2,0,1,0,0
1180,4,.1588817664,1,1,2,0,1,0,0
1180,6,.1588817664,0,1,2,0,1,1,0
1235,1,.1470561274,0,2,2,1,1,0,0
1235,4,.1470561274,0,3,3,1,1,0,0
1235,6,.1470561274,0,1,2,1,1,1,0
1382,1,.1106697018,0,1,2,1,1,0,0
1382,4,.1106697018,1,4,3,1,1,0,0
1382,6,.1106697018,0,3,2,0,1,1,0
1445,1,1.033473262,0,1,3,1,1,0,0
1445,4,1.033473262,0,1,3,1,1,0,0
1445,6,1.033473262,0,2,3,0,1,1,0
1488,1,.2111195469,0,1,1,0,0,0,0
1488,4,.2111195469,0,3,1,0,0,0,0
1488,6,.2111195469,1,1,1,0,0,1,1
1537,1,.0730870386,1,5,3,1,1,0,0
1537,4,.0730870386,1,1,3,1,1,0,0
1537,6,.0730870386,1,1,3,1,1,1,1
1572,1,.1695688006,1,2,3,1,1,0,0
1572,4,.1695688006,1,3,4,1,1,0,0
1572,6,.1695688006,1,2,4,1,1,1,1
1621,1,.8857084169,0,2,3,0,0,0,0
1621,4,.8857084169,0,3,3,0,0,0,0
1621,6,.8857084169,0,1,3,0,0,1,0
1666,1,.1982639768,0,2,3,0,1,0,0
1666,4,.1982639768,0,2,1,0,1,0,0
1666,6,.1982639768,0,1,2,0,1,1,0
1675,1,.6821198782,1,3,3,1,1,0,0
