"wts","age","education","race","english.only","female","number.kids","income","travelcost","bridge","choice","id","choiceid","region","idx.chid","idx.id","idx.alt","marin","eastbay","bayshore","peninsula","notrip","income.marin","income.eastbay","income.bayshore","income.peninsula","income.notrip"
0.22464643,50,12,4,1,0,0, 37.609,35.403039,0.0000000,FALSE,   1, 683,"1", 683,   1,1,1,0,0,0,0, 37.609,  0.000,  0.000,  0.000,  0.000
0.22464643,50,12,4,1,0,0, 37.609,21.116467,0.1666667,FALSE,   1, 683,"2", 683,   1,2,0,1,0,0,0,  0.000, 37.609,  0.000,  0.000,  0.000
0.22464643,50,12,4,1,0,0, 37.609, 6.113300,0.0000000,FALSE,   1, 683,"3", 683,   1,3,0,0,1,0,0,  0.000,  0.000, 37.609,  0.000,  0.000
0.22464643,50,12,4,1,0,0, 37.609,16.410333,0.0000000,TRUE,   1, 683,"4", 683,   1,4,0,0,0,1,0,  0.000,  0.000,  0.000, 37.609,  0.000
0.22464643,50,12,4,1,0,0, 37.609, 0.000000,0.0000000,FALSE,   1, 683,"5", 683,   1,5,0,0,0,0,1,  0.000,  0.000,  0.000,  0.000, 37.609
4.93513120,44, 9,1,1,1,0,  9.600,28.099540,0.0000000,TRUE,   2,   1,"1",   1,   2,1,1,0,0,0,0,  9.600,  0.000,  0.000,  0.000,  0.000
4.93513120,44, 9,1,1,1,0,  9.600,23.226934,0.0000000,FALSE,   2,   1,"2",   1,   2,2,0,1,0,0,0,  0.000,  9.600,  0.000,  0.000,  0.000
4.93513120,44, 9,1,1,1,0,  9.600,30.246666,1.0000000,FALSE,   2,   1,"3",   1,   2,3,0,0,1,0,0,  0.000,  0.000,  9.600,  0.000,  0.000
4.93513120,44, 9,1,1,1,0,  9.600,38.169311,1.0000000,FALSE,   2,   1,"4",   1,   2,4,0,0,0,1,0,  0.000,  0.000,  0.000,  9.600,  0.000
4.93513120,44, 9,1,1,1,0,  9.600, 0.000000,0.0000000,FALSE,   2,   1,"5",   1,   2,5,0,0,0,0,1,  0.000,  0.000,  0.000,  0.000,  9.600
0.36347960,56,15,6,1,0,0,180.000,50.147300,1.0000000,FALSE,   3, 224,"1", 224,   3,1,1,0,0,0,0,180.000,  0.000,  0.000,  0.000,  0.000
